id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
pmlr-v162-aygun22a,Proving Theorems using Incremental Learning and Hindsight Experience Replay,3,False,,,,,,high,"The paper focuses on improving automated theorem proving performance through incremental learning and hindsight experience replay, with the primary goal of outperforming existing heuristic-based provers. There is no mention of safety, alignment, or risk mitigation, and the work is purely about enhancing capabilities. Thus it falls under Class 3 (General Capabilities)."
pmlr-v162-ayme22a,Near-optimal rate of consistency for linear models with missing values,3,False,,,,,,high,"The paper addresses missing values in linear models, proposing a new algorithm with theoretical risk bounds and numerical experiments. There is no connection to AI safety, alignment, interpretability, or any safety-related concepts, so it falls under general capabilities."
pmlr-v162-ao22a,EAT-C: Environment-Adversarial sub-Task Curriculum for Efficient Reinforcement Learning,3,False,,,,,,high,"The paper proposes a curriculum learning method for reinforcement learning to improve efficiency and generalization on long-horizon tasks. There is no mention of frontier AI safety, alignment, or any safety-related concepts; the focus is entirely on performance improvements."
pmlr-v162-abbas22b,Sharp-MAML: Sharpness-Aware Model-Agnostic Meta Learning,3,False,,,,,,high,"The paper proposes Sharp-MAML, a sharpness-aware variant of MAML to improve optimization and generalization in few-shot meta-learning. The primary goal is enhancing performance and efficiency, with no connection to AI safety, ethics, or interpretability. It clearly falls under General Capabilities (Class 3)."
pmlr-v162-alacaoglu22a,A Natural Actor-Critic Framework for Zero-Sum Markov Games,3,False,,,,,,high,"This paper introduces natural actor-critic algorithms for zero-sum Markov games, focusing on improving sample complexity and convergence to Nash equilibrium. The primary goal is advancing multi-agent reinforcement learning capabilities without any explicit connection to AI safety, alignment, or catastrophic risk. It belongs in Class 3 (General Capabilities) as it is a performance-oriented algorithmic contribution."
pmlr-v162-almanza22a,RUMs from Head-to-Head Contests,3,False,,,,,,high,"The paper develops algorithms for fitting random utility models to pairwise comparison data, a methodological contribution in discrete choice theory and machine learning. There is no connection to AI safety, alignment, or frontier model concerns, so it belongs in Class 3 for general capabilities."
pmlr-v162-anagnostides22a,On Last-Iterate Convergence Beyond Zero-Sum Games,3,False,,,,,,high,"The paper focuses on theoretical convergence properties of learning dynamics in game theory, with no connection to AI safety, alignment, or frontier models. It belongs to Class 3 (General Capabilities) as its primary goal is advancing understanding of algorithmic convergence and efficiency in games."
pmlr-v162-ardywibowo22a,VariGrow: Variational Architecture Growing for Task-Agnostic Continual Learning based on Bayesian Novelty,3,False,,,,,,high,"The paper proposes a variational architecture growing method for task-agnostic continual learning, focusing on improving performance on sequential tasks without explicit task boundaries. It does not address AI safety, ethics, reliability, or any frontier alignment concerns, making it a general capabilities paper."
pmlr-v162-abbe22a,An Initial Alignment between Neural Network and Target is Needed for Gradient Descent to Learn,3,False,,,,,,high,"The paper presents a theoretical result about the necessity of initial alignment for gradient descent to learn Boolean functions, with no connection to AI safety, frontier models, or alignment in the safety sense. It is a pure learning theory contribution, thus falls under General Capabilities."
pmlr-v162-alvarez22a,Minimax Classification under Concept Drift with Multidimensional Adaptation and Performance Guarantees,3,False,,,,,,high,"The paper proposes adaptive minimax risk classifiers for classification under concept drift, focusing on handling multidimensional time changes and providing performance guarantees. There is no mention of frontier AI, alignment, or safety; the goal is improving classification accuracy on standard benchmarks. Thus it belongs to Class 3 (General Capabilities)."
pmlr-v162-awasthi22a,Congested Bandits: Optimal Routing via Short-term Resets,3,False,,,,,,high,"The paper introduces a new bandit formulation (Congested Bandits) for traffic routing, focusing on algorithmic regret bounds and performance. There is no connection to AI safety, alignment, interpretability, or frontier model concerns. It is a capabilities-oriented contribution in reinforcement learning/bandit theory, fitting Class 3."
pmlr-v162-ahn22a,Understanding the unstable convergence of gradient descent,3,False,,,,,,high,"This paper analyzes the convergence properties of gradient descent when step sizes exceed the standard Lipschitz condition, a purely theoretical optimization contribution. It has no connection to AI safety, alignment, or frontier model concerns, and thus falls into Class 3 (General Capabilities)."
pmlr-v162-atsidakou22a,Asymptotically-Optimal Gaussian Bandits with Side Observations,3,False,,,,,,high,"This paper presents a theoretical study of Gaussian bandits with side observations, focusing on constructing lower bounds and an asymptotically optimal algorithm. There is no connection to AI safety, alignment, ethics, interpretability, or frontier AI concerns; it is a pure machine learning theory paper aimed at improving regret performance. Therefore, it falls under Class 3 (General Capabilities)."
pmlr-v162-awasthi22b,Do More Negative Samples Necessarily Hurt In Contrastive Learning?,3,False,,,,,,high,"The paper investigates the effect of negative samples in contrastive learning on downstream classification performance, with theoretical analysis and experiments on CIFAR datasets. There is no connection to AI safety, alignment, or frontier model concerns, so it belongs in Class 3 (General Capabilities)."
pmlr-v162-anand22a,Online Algorithms with Multiple Predictions,3,False,,,,,,high,"The paper presents a generic algorithmic framework for online covering problems using multiple machine-learned predictions, with the goal of improving competitive ratios. There is no connection to AI safety, fairness, interpretability, or alignment; it is a pure theoretical contributions focused on performance."
pmlr-v162-amid22a,Public Data-Assisted Mirror Descent for Private Model Training,1,False,,,,,,high,"The paper introduces a method for differentially private model training, which is a standard privacy-preserving technique in machine learning ethics and fairness. It does not address frontier AI safety, misalignment, or catastrophic risks, so it belongs in Class 1 (Ethics & Fairness)."
pmlr-v162-armacki22a,Gradient Based Clustering,3,False,,,,,,high,"The paper presents a gradient-based approach to improve clustering performance, focusing on algorithmic efficiency and convergence guarantees. There is no connection to AI safety, ethics, interpretability, or reliability; it is a pure capabilities-oriented contribution to general clustering methods."
pmlr-v162-aguiar22a,Learning of Cluster-based Feature Importance for Electronic Health Record Time-series,2,False,,,,,,high,"The paper proposes a clustering method with feature-time attention for interpretability of EHR time-series data to predict inpatient risk. The interpretability is domain-specific (clinical phenotypes) and does not provide generalizable insights into model internals, fitting Class 2 (XAI for narrow tasks) rather than Class 4 (safety interpretability)."
pmlr-v162-ament22a,Scalable First-Order Bayesian Optimization via Structured Automatic Differentiation,3,False,,,,,,high,"The paper proposes a scalable method for Bayesian optimization using gradient information and structured kernels. Its primary goal is improving computational efficiency and performance, with no connection to AI safety, ethics, fairness, or reliability. Therefore it belongs in Class 3 (General Capabilities)."
pmlr-v162-abbas22a,PAC-Bayesian Bounds on Rate-Efficient Classifiers,3,False,,,,,,high,"The paper derives PAC-Bayesian bounds for noise invariance in majority vote classifiers under input compression, focusing on rate-efficient classification. It is a theoretical ML contribution with no connection to frontier AI safety, alignment, or catastrophic risk. Therefore, it belongs in Class 3 (General Capabilities)."
pmlr-v162-abernethy22a,Active Sampling for Min-Max Fairness,1,False,,,,,,high,"The paper addresses min-max fairness in classification and regression models, which is a core topic in traditional algorithmic fairness and bias mitigation. It focuses on optimizing model performance for disadvantaged groups, with no connection to frontier AI, agentic systems, or catastrophic risk. Therefore, it belongs to Class 1 (Ethics & Fairness)."
pmlr-v162-ali22a,XAI for Transformers: Better Explanations through Conservative Propagation,2,False,,,,,,high,"The paper proposes an extension of LRP for explaining Transformer predictions, focusing on improving transparency and attribution reliability. This is a post-hoc interpretability method for general Transformers, not specifically for frontier models or safety-alignment. It fits Class 2 (Truthfulness, Reliability & XAI) as it addresses model explanation for trustworthiness without advancing safety-critical understanding or alignment."
pmlr-v162-agarwal22a,Batched Dueling Bandits,3,False,,,,,,high,"The paper addresses the batched dueling bandit problem, a bandit variant focusing on regret minimization under batch constraints. There is no mention of AI safety, alignment, ethics, interpretability, or truthfulness, making it a pure capabilities/theory paper that belongs in Class 3."
