id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
LqazVN5epT,On Entropy Control in LLM-RL Algorithms,3,False,,,,,,high,"The paper proposes a new entropy control method (AEnt) for RL training of LLMs aimed at improving performance on math-reasoning tasks. There is no mention of safety, alignment, or risk mitigation; the work is purely focused on enhancing model capabilities. Therefore it belongs to Class 3 (General Capabilities)."
0nvQ5kHXf4,Efficient Resource-Constrained Training of Transformers via Subspace Optimization,3,False,,,,,,high,"The paper introduces a subspace optimization method to reduce memory and computational costs for training transformers on resource-constrained devices. The motivation is energy efficiency and data privacy, not safety or alignment. No safety-relevant concepts are discussed, so it falls under Class 3 (General Capabilities)."
RzT2sombPD,CTBench: Cryptocurrency Time Series Generation Benchmark,3,False,,,,,,high,"This paper introduces a benchmark for cryptocurrency time series generation, focusing on forecasting, trading, and risk assessment with no connection to AI safety, alignment, or frontier model concerns. It falls under Class 3 as its primary goal is improving generation performance and evaluation methodology."
3hS7EtL4bV,PGRF-Net: A Prototype-Guided Relational Fusion Network for Diagnostic Multivariate Time-Series Anomaly Detection,2,False,,,,,,high,"The paper introduces a prototype-guided relational fusion network for multivariate time-series anomaly detection, emphasizing interpretability through decomposed evidence (predictive deviation, structural changes, etc.). This is a domain-specific application for diagnostic analysis rather than advancing general-purpose mechanistic interpretability or safety of frontier AI systems. It clearly fits Class 2 (Truthfulness, Reliability & XAI) as it addresses reliability and transparency for a narrow task with no frontier safety implications."
QRSeFZfu8E,Generalizable End-to-End Tool-Use RL with Synthetic CodeGym,3,False,,,,,,high,"The paper introduces CodeGym, a framework for generating synthetic tool-use environments from coding problems to train LLM agents via reinforcement learning. The primary goal is to improve generalization and robustness of tool-use capabilities, with no explicit safety or alignment motivation. This places it squarely in Class 3 (General Capabilities), as it focuses on advancing agent performance and out-of-distribution generalization without addressing frontier AI safety or misalignment risks."
5S8ruWKe8l,Fast and Stable Riemannian Metrics on SPD Manifolds via Cholesky Product Geometry,3,False,,,,,,high,"The paper proposes new Riemannian metrics for SPD matrices to improve computational efficiency and numerical stability in SPD neural networks. The primary goal is advancing deep learning methods, with no mention of AI safety, ethics, or reliability. It belongs in Class 3 as a capabilities-focused contribution without safety relevance."
3VIPmz7iAi,GTA1: GUI Test-time Scaling Agent,3,False,,,,,,high,"The paper focuses on improving GUI agent performance via test-time scaling and reinforcement learning for action planning and grounding, with no safety, alignment, or ethical concerns. It is purely a capabilities improvement paper, fitting Class 3."
vjEl1PuIDE,AVoCaDO: An Audiovisual Video Captioner Driven by Temporal Orchestration,3,False,,,,,,high,"The paper presents AVoCaDO, a model for audiovisual video captioning that improves temporal alignment between audio and visual events. The focus is purely on enhancing captioning performance and generalization, with no connection to AI safety, alignment, or risk mitigation. It belongs to Class 3 as the primary goal is improving capabilities."
k6nTUFoqeT,FASTer: Toward Powerful and Efficient Autoregressive Vision–Language–Action Models with Learnable Action Tokenizer and Block-wise Decoding,3,False,,,,,,high,"The paper introduces a framework for efficient autoregressive vision-language-action models for robotic manipulation, focusing on improving inference speed and task performance. There is no mention of safety, alignment, or any safety-related motivation; the primary goal is enhancing capabilities and efficiency. Thus, it falls under General Capabilities (Class 3)."
8tDIzHFOx6,SPR$^2$Q: Static Priority-based Rectifier Routing Quantization for Image Super-Resolution,3,False,,,,,,high,"The paper presents a quantization method for image super-resolution, aiming to improve performance under low-bit compression. It focuses entirely on enhancing model efficiency and accuracy, with no connection to AI safety, ethics, or reliability concerns. Therefore, it belongs to Class 3: General Capabilities."
h0iRgjTmVs,SiMO: Single-Modality-Operable Multimodal Collaborative Perception,2,False,,,,,,medium,"The paper addresses robustness in collaborative perception by handling sensor failures (e.g., LiDAR unavailability) to maintain performance, which is a reliability improvement for current-generation multi-agent systems. It does not engage with frontier AI safety, alignment, or general-purpose model interpretability, making Class 2 the appropriate fit over Class 3 (which is for pure capabilities work) and Class 4 (which requires explicit safety motivation)."
BqLGlQF46f,Beyond the Known: An Unknown-Aware Large Language Model for Open-Set Text Classification,2,False,,,,,,high,"The paper proposes an unknown-aware LLM for open-set text classification, focusing on improving OOD detection and classification accuracy. This is a reliability enhancement for a specific NLP task, not a study of frontier AI safety or alignment. Therefore, it belongs in Class 2 (Truthfulness, Reliability & XAI)."
hlLXvyz5iP,Reasoning-Aligned Perception Decoupling for Scalable Multi-modal Reasoning,3,False,,,,,,high,"The paper focuses on improving multi-modal reasoning performance by decoupling perception and reasoning in MLLMs and introducing a reinforcement learning algorithm (VPO) to align perceptual outputs with external LLM reasoners. The primary goal is scaling reasoning capabilities and achieving performance gains on benchmarks, with no explicit connection to frontier AI safety, misalignment, or catastrophic risk. It is a general capabilities improvement paper and therefore belongs to Class 3."
3y3hnL7KhS,AEGIS: Adversarial Target-Guided Retention-Data-Free Robust Concept Erasure from Diffusion Models,4,True,3,2,1,6,Alignment Training,high,"The paper proposes a concept erasure method for diffusion models to prevent them from generating harmful content, which is a core safety intervention. It directly addresses robustness (resisting reactivation) and retention (preserving utility), using adversarial target optimization and gradient regularization designed specifically for safety purposes. Evaluation includes attack success rates (safety metric) and FID/CLIP (capability metrics), placing it firmly in Class 4 under the Alignment Training subdomain."
epbzV3FLcI,Online Navigation Refinement: Achieving Lane-Level Guidance by Associating Standard-Definition and Online Perception Maps,3,False,,,,,,high,"The paper improves lane-level navigation by associating standard-definition maps with online perception maps, introducing a dataset and a transformer model for map alignment. There is no connection to AI safety, ethics, or reliability; it is purely a capabilities-oriented contribution in robotics/autonomous driving."
7Dvmq7MhwU,TianQuan-S2S: A Subseasonal-to-Seasonal Global Weather Model via Incorporate Climatology State,3,False,,,,,,high,"The paper presents a data-driven model for subseasonal-to-seasonal weather forecasting, focusing on improving predictive performance by incorporating climatology states. There is no mention of safety, fairness, interpretability, or any AI safety-related goals; it is purely a capabilities improvement paper. Therefore it falls under Class 3."
wZ4UoRKDNa,ssToken: Self-modulated and Semantic-aware Token Selection for LLM Fine-tuning,3,False,,,,,,high,"The paper proposes a token selection method for LLM fine-tuning aimed at improving performance and efficiency. It does not address safety, alignment, or risk, so it belongs in Class 3 (General Capabilities)."
FS1KoskTtD,Fathom-DeepResearch: Unlocking Long Horizon Information Retrieval and Synthesis for SLMs,3,False,,,,,,high,"The paper develops an agentic system for information retrieval and synthesis, focusing on improving performance on benchmarks like SimpleQA, FRAMES, and DeepResearch-Bench. There is no explicit safety or alignment motivation, nor does it address frontier AI safety concerns. It is purely a capabilities paper aimed at enhancing tool-integrated reasoning for small language models."
Pa6ak2B9jJ,Auto-RT: Automatic Jailbreak Strategy Exploration for Red-Teaming Large Language Models,4,True,3,2,2,7,Red-Teaming,high,"The paper presents a reinforcement learning framework for automatically exploring jailbreak strategies to bypass LLM safety restrictions, which is a red-teaming method. This directly targets frontier model vulnerabilities and is explicitly safety-motivated. The work is distinguished from Class 2 by its focus on adversarial attack generation for LLMs rather than standard adversarial robustness for narrow models."
9EjZGs8ube,ODEBrain: Continuous-Time EEG Graph for Modeling Dynamic Brain Networks,3,False,,,,,,high,"The paper presents ODEBrain, a Neural ODE framework for forecasting EEG dynamics in brain network modeling. Its primary goal is improving prediction accuracy and robustness for a domain-specific application, with no mention of safety, alignment, or frontier AI concerns. Therefore, it falls under Class 3 (General Capabilities)."
4XVczusV2K,Diverse and Sparse Mixture-of-Experts for Causal Subgraph–Based Out-of-Distribution Graph Learning,3,False,,,,,,high,"The paper introduces a Mixture-of-Experts framework for out-of-distribution graph learning, focusing on improving generalization performance under distribution shifts. The goal is capabilities improvement without any explicit safety, alignment, or reliability framing, so it fits in Class 3 (General Capabilities). It does not address frontier AI safety concerns, interpretability, or adversarial robustness for LLMs, distinguishing it from Class 4 or Class 2."
WVliGyFwZv,Accelerated co-design of robots through morphological pretraining,3,False,,,,,,high,"The paper focuses on co-design of robot morphology and neural control using differentiable simulation and morphological pretraining to improve performance and design diversity. There is no mention of AI safety, alignment, ethics, or any connection to frontier AI risks, so it is a general capabilities paper."
vCmnu4q8C3,Adaptive Conformal Prediction via Mixture-of-Experts Gating Similarity,3,False,,,,,,high,"The paper introduces a method for adaptive conformal prediction using Mixture-of-Experts to improve uncertainty quantification in heterogeneous datasets. It focuses on enhancing prediction intervals and coverage guarantees without any connection to frontier AI safety, alignment, or ethical considerations. Therefore, it belongs to Class 3 (General Capabilities) as its primary goal is improving model performance and reliability."
y4nkSIOX8L,GaitSnippet: Gait Recognition Beyond Unordered Sets and Ordered Sequences,3,False,,,,,,high,"The paper proposes a novel method for gait recognition, a biometric identification task, focusing on improving temporal modeling to enhance accuracy. There is no mention of AI safety, alignment, interpretability, or frontier model concerns; the goal is solely performance improvement. Therefore, it falls under Class 3 (General Capabilities)."
ImRhA9xmay,YoNoSplat: You Only Need One Model for Feedforward 3D Gaussian Splatting,3,False,,,,,,high,"YoNoSplat is a feedforward 3D reconstruction method that improves the speed and quality of 3D Gaussian Splatting from images, with no connection to AI safety, ethics, or reliability. The paper focuses purely on performance and generalization, thus falls under General Capabilities (Class 3)."
81PJ2KPnmK,DreamPhase: Offline Imagination and Uncertainty-Guided Planning for Large-Language-Model Agents,4,True,3,1,2,6,Safeguards,high,"The paper proposes DreamPhase, a framework for LLM agents that uses offline imagination, uncertainty-guided planning, and a safety gate to reduce irreversible actions and improve safety in autonomous agents. The primary goal is safe and efficient agent behavior, making it central to frontier AI safety. The methodology includes a safety-specific gate, and evaluation reports safety metrics like reduction in irreversible actions, justifying Safeguards as the subdomain."
1J63FJYJKg,MrRoPE: Mixed-radix Rotary Position Embedding,3,False,,,,,,high,"The paper proposes MrRoPE, a method to extend Rotary Position Embedding (RoPE) for handling longer sequences. The primary goal is improving length generalization and performance on long-context benchmarks, with no explicit safety, alignment, or reliability motivation. Therefore, it falls under General Capabilities."
ADFXCeYXvR,GALAX: Graph-Augmented Language Model for Explainable Reinforcement-Guided Subgraph Reasoning in Precision Medicine,2,False,,,,,,high,"The paper introduces GALAX, a framework that integrates GNNs and LLMs for explainable subgraph reasoning in precision medicine. It focuses on improving interpretability and reliability in a domain-specific biomedical context, not on understanding or aligning frontier AI systems. Therefore it belongs to Class 2 (Truthfulness, Reliability & XAI)."
aTVollXaaI,SPRINT: Sparse-Dense Residual Fusion for Efficient Diffusion Transformers,3,False,,,,,,high,"The paper proposes SPRINT, a method for efficient training of diffusion transformers via token dropping and residual fusion. The primary goal is reducing computational cost and improving efficiency, with no mention of safety, alignment, or interpretability concerns. Therefore, it falls under Class 3 (General Capabilities)."
qHm5GePxTh,RF-DETR: Neural Architecture Search for Real-Time Detection Transformers,3,False,,,,,,high,"The paper focuses on improving object detection accuracy and latency through neural architecture search, with no mention of safety, ethics, or alignment. It is purely a capabilities paper aiming to achieve state-of-the-art performance on standard benchmarks like COCO, placing it firmly in Class 3."
7wjFjOzCtB,"No Prior, No Leakage: Revisiting Reconstruction Attacks in Trained Neural Networks",1,False,,,,,,high,"The paper studies reconstruction attacks to recover training data from neural network parameters, a privacy and security issue within AI ethics. It does not address frontier AI safety, alignment, or catastrophic risks, distinguishing it from Class 4, nor does it focus on model truthfulness or general capabilities."
dT3ZciXvNX,DexMove: Learning Tactile-Guided Non-Prehensile Manipulation with Dexterous Hands,3,False,,,,,,high,"The paper presents DexMove, a framework for learning tactile-guided non-prehensile manipulation with dexterous hands, focusing on improving robot manipulation capabilities through a simulation pipeline and flow-based policy. There is no connection to AI safety, alignment, or any frontier misalignment concerns, so it falls under Class 3 (General Capabilities) as its primary goal is enhancing performance and efficiency."
1Q85tfZaOa,Practical estimation of the optimal classification error with soft labels and calibration,3,False,,,,,,high,"This paper focuses on estimating the Bayes error rate in binary classification using soft labels and calibration, addressing theoretical bias properties and calibration guarantees. It is a methodological contribution to fundamental ML performance estimation with no connection to frontier AI safety, fairness, truthfulness, or alignment. Therefore, it belongs in Class 3 (General Capabilities)."
HB6KvsqcAn,Towards Physically Executable 3D Gaussian for Embodied Navigation,3,False,,,,,,high,"The paper focuses on improving 3D Gaussian Splatting for embodied navigation by adding semantic and physical grounding, with the goal of enhancing performance and generalizability in Visual-Language Navigation. No mention of AI safety, alignment, interpretability, or ethics. It is purely a capabilities improvement paper, thus Class 3."
dCJZR0P4T5,Stop Tracking Me! Proactive Defense Against Attribute Inference Attack in LLMs,1,False,,,,,,high,"The paper focuses on defending against attribute inference attacks in LLMs to protect user privacy, which is an ethical privacy concern rather than a frontier AI safety issue. It does not address misalignment, loss of control, or catastrophic risk, and thus belongs in Class 1 (Ethics & Fairness). The work is distinct from adversarial robustness for jailbreaks or safety alignment, as it targets privacy leakage from user-generated text."
QmgEUx2Cd7,LORE: Jointly Learning The Intrinsic Dimensionality and Relative Similarity Structure from Ordinal Data,3,False,,,,,,high,"The paper proposes LORE, a method for learning intrinsic dimensionality and ordinal embeddings from triplet comparisons, with applications in perceptual modeling. It does not address AI safety, alignment, or frontier models, nor does it fit into ethics, fairness, truthfulness, or XAI categories. It is a general machine learning methodology paper, thus classified as Class 3."
mdw0vvRBEL,Truthfulness Despite Weak Supervision: Evaluating and Training LLMs Using Peer Prediction,4,True,3,2,2,7,Scalable Oversight,high,"The paper introduces peer prediction—a mechanism design method—to elicit honest answers from LLMs without ground truth, directly addressing the scalable oversight problem of supervising models smarter than their evaluators. It demonstrates theoretical guarantees and empirical recovery of truthfulness after malicious finetuning, clearly distinguishing it from standard hallucination mitigation (Class 2) or pure capability improvement (Class 3) by its explicit safety motivation and focus on preventing deception under weak supervision."
sKMgGQQy7g,SesaHand: Enhancing 3D Hand Reconstruction via Controllable Generation with Semantic and Structural Alignment,3,False,,,,,,high,"The paper focuses on improving 3D hand reconstruction through controllable generation with semantic and structural alignment, aiming to enhance performance and diversity of synthetic training data. There is no connection to AI safety, ethics, or interpretability; it is a capabilities-oriented computer vision paper."
4ZAwmIaA9y,GARLIC: Graph Attention-based Relational Learning of Multivariate Time Series in Intensive Care,2,False,,,,,,high,"The paper presents GARLIC, an interpretable neural network for ICU time series prediction that incorporates attention mechanisms for imputation and classification. The interpretability is domain-specific (clinical data) and aimed at improving trust in medical predictions, not at understanding frontier AI internals. It does not address AI safety, alignment, or catastrophic risks, so it is correctly classified as Class 2 (Truthfulness, Reliability & XAI)."
n0wVbCxcob,IVEBench: Modern Benchmark Suite for Instruction-Guided Video Editing Assessment,3,False,,,,,,high,"The paper introduces a benchmark for instruction-guided video editing, focusing on evaluating video quality, instruction compliance, and fidelity. It is a capabilities-oriented benchmark with no safety, alignment, or interpretability goals. It does not address frontier AI safety concerns or potential misalignment, so it falls under Class 3 (General Capabilities)."
os7OLubIMI,On learning linear dynamical systems in context with attention layers,3,False,,,,,,high,"The paper investigates the expressive power of linear attention layers for in-context learning of linear dynamical systems, focusing on theoretical connections to optimization methods. There is no mention of safety, ethics, fairness, reliability, or alignment; it is a pure capabilities study, thus falls under Class 3 (General Capabilities)."
Nqjyrvh3pf,Incentives in Federated Learning with Heterogeneous Agents,3,False,,,,,,high,"The paper introduces a game-theoretic framework and mechanism design for federated learning to address incentive misalignment among heterogeneous agents. Its primary goal is improving cooperative efficiency and sample-efficiency gains, with no connection to frontier AI safety, alignment, or catastrophic risk. Thus it falls under Class 3 (General Capabilities)."
1BXojAgNrg,MedAraBench: Large-scale Arabic Medical Question Answering Dataset and Benchmark,3,False,,,,,,high,"The paper introduces a new Arabic medical QA dataset and benchmarks various LLMs on it, with the primary goal of improving multilingual capabilities and domain-specific performance. There is no focus on safety, alignment, interpretability, or risk mitigation, distinguishing it from Class 4, and it lacks the fairness or reliability framing of Classes 1 and 2."
