id,title,step1_class,is_safety,primary_objective_score,method_score,evaluation_score,total_score,subdomain,confidence,reasoning
5UFUHUC5qP,GDGB: A Benchmark for Generative Dynamic Text-Attributed Graph Learning,3,False,0,0,0,0,,high,"The paper focuses on creating a benchmark for generative dynamic text-attributed graph learning, which is a general machine learning capability task with no safety or alignment motivation."
G0HcRB3s3N,To View Transform or Not to View Transform: NeRF-based Pre-training Perspective,3,False,0,0,0,0,,high,"The paper focuses on improving 3D scene understanding and perception for autonomous driving using NeRFs, which is a general capability/performance improvement task with no safety or alignment motivation."
4XVczusV2K,Diverse and Sparse Mixture-of-Experts for Causal Subgraph–Based Out-of-Distribution Graph Learning,2,False,0,0,0,0,,high,"The paper focuses on out-of-distribution (OOD) generalization and causal subgraph learning for graph neural networks, which falls under reliability and general ML capabilities rather than frontier AI safety."
qHm5GePxTh,RF-DETR: Neural Architecture Search for Real-Time Detection Transformers,3,False,0,0,0,0,,high,"The paper focuses on improving the efficiency and accuracy of object detection transformers using Neural Architecture Search, with no mention of AI safety or alignment."
W5BPGXR9jf,NerVE: Nonlinear Eigenspectrum Dynamics in LLM Feed-Forward Networks,2,False,0,0,0,0,,high,"The paper focuses on understanding the internal dynamics and information flow of FFNs for general architectural understanding, which falls under XAI capabilities/reliability rather than frontier AI safety."
7dTqUaY2Kl,JailNewsBench: Multi-Lingual and Regional Benchmark for Fake News Generation under Jailbreak Attacks,4,True,3,2,1,6,Red-Teaming,high,The paper focuses on evaluating the failure of safety guardrails via jailbreak attacks to generate harmful fake news across multiple languages and regions.
bpF8zgSt41,How Transformers Learn Causal Structures In-Context: Explainable Mechanism Meets Theoretical Guarantee,2,False,0,0,0,0,,high,"The paper focuses on the theoretical and mechanistic understanding of how Transformers perform in-context learning of causal structures, which is a study of capabilities and XAI rather than frontier AI safety or alignment."
RzT2sombPD,CTBench: Cryptocurrency Time Series Generation Benchmark,3,False,0,0,0,0,,high,"The paper focuses on creating a benchmark for synthetic cryptocurrency time series generation for financial utility, with no mention of AI safety, alignment, or catastrophic risk."
5S8ruWKe8l,Fast and Stable Riemannian Metrics on SPD Manifolds via Cholesky Product Geometry,3,False,0,0,0,0,,high,"The paper focuses on improving the computational efficiency and stability of Riemannian metrics for SPD matrices in neural networks, which is a general capability/architectural improvement with no safety or alignment motivation."
ADFXCeYXvR,GALAX: Graph-Augmented Language Model for Explainable Reinforcement-Guided Subgraph Reasoning in Precision Medicine,2,False,0,0,0,0,,high,"The paper focuses on explainability and reliability in the context of precision medicine and biological reasoning, which falls under Class 2 (Truthfulness, Reliability, & XAI Capabilities)."
