Paper Title,Subarea,Detailed Class,Score
ShieldAgent: Shielding Agents via Verifiable Safety Policy Reasoning,Threat Modeling & Evaluations,Safeguards,7.0
Emergent Response Planning in LLMs,Interpretability & Understanding,Interpretability,3.0
Mind the Gap: A Practical Attack on GGUF Quantization,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
SAE-V: Interpreting Multimodal Models for Enhanced Alignment,Interpretability & Understanding,Interpretability,4.0
UDora: A Unified Red Teaming Framework against LLM Agents by Dynamically Hijacking Their Own Reasoning,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Improving LLM Safety Alignment with Dual-Objective Optimization,Capability Control & Unlearning,Alignment Training,7.0
AdvAgent: Controllable Blackbox Red-teaming on Web Agents,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
GuardAgent: Safeguard LLM Agents via Knowledge-Enabled Reasoning,Threat Modeling & Evaluations,Safeguards,7.0
Just Enough Shifts: Mitigating Over-Refusal in Aligned Language Models with Targeted Representation Fine-Tuning,Threat Modeling & Evaluations,Safeguards,6.0
OR-Bench: An Over-Refusal Benchmark for Large Language Models,Threat Modeling & Evaluations,Safeguards,7.0
Internal Causal Mechanisms Robustly Predict Language Model Out-of-Distribution Behaviors,Interpretability & Understanding,Interpretability,3.0
Conformal Tail Risk Control for Large Language Model Alignment,Threat Modeling & Evaluations,Safeguards,4.0
Vulnerability-Aware Alignment: Mitigating Uneven Forgetting in Harmful Fine-Tuning,Capability Control & Unlearning,Alignment Training,5.0
The Illusion of Role Separation: Hidden Shortcuts in LLM Role Learning (and How to Fix Them),"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
TOPLOC: A Locality Sensitive Hashing Scheme for Trustless Verifiable Inference,Threat Modeling & Evaluations,Control,5.0
"SafetyAnalyst: Interpretable, Transparent, and Steerable Safety Moderation for AI Behavior",Threat Modeling & Evaluations,Safeguards,7.0
Emoji Attack: Enhancing Jailbreak Attacks Against Judge LLM Detection,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
"PANDAS: Improving Many-shot Jailbreaking via Positive Affirmation, Negative Demonstration, and Adaptive Sampling","Robustness, Defense & Systemic Control",Red-Teaming,7.0
Adversarial Reasoning at Jailbreaking Time,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
The Logical Implication Steering Method for Conditional Interventions on Transformer Generation,Interpretability & Understanding,Interpretability,4.0
Observation Interference in Partially Observable Assistance Games,Agent Foundations & Alignment Theory,Agent Foundations,5.0
When Bad Data Leads to Good Models,Capability Control & Unlearning,Alignment Training,6.0
Memorization Sinks: Isolating Memorization during LLM Training,Capability Control & Unlearning,Alignment Training,5.0
What Has a Foundation Model Found? Using Inductive Bias to Probe for World Models,Interpretability & Understanding,Interpretability,6.0
Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models,Interpretability & Understanding,Interpretability,6.0
MIB: A Mechanistic Interpretability Benchmark,Interpretability & Understanding,Interpretability,7.0
Eliciting Language Model Behaviors with Investigator Agents,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
On the Robustness of Reward Models for Language Model Alignment,Capability Control & Unlearning,Alignment Training,4.0
In-Context Linear Regression Demystified: Training Dynamics and Mechanistic Interpretability of Multi-Head Softmax Attention,Interpretability & Understanding,Interpretability,3.0
Diverging Preferences: When do Annotators Disagree and do Models Know?,Scalable Oversight & Value Learning,Scalable Oversight,4.0
AdvPrompter: Fast Adaptive Adversarial Prompting for LLMs,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
TruthFlow: Truthful LLM Generation via Representation Flow Correction,Interpretability & Understanding,Interpretability,5.0
Potemkin Understanding in Large Language Models,Interpretability & Understanding,Interpretability,6.0
How Do Transformers Learn Variable Binding in Symbolic Programs?,Interpretability & Understanding,Interpretability,3.0
Aligning Spoken Dialogue Models from User Interactions,Capability Control & Unlearning,Alignment Training,4.0
(How) Do Language Models Track State?,Interpretability & Understanding,Interpretability,3.0
"Weak-to-Strong Generalization Even in Random Feature Networks, Provably",Scalable Oversight & Value Learning,Scalable Oversight,3.0
Looking Beyond the Top-1: Transformers Determine Top Tokens in Order,Interpretability & Understanding,Interpretability,3.0
Cowpox: Towards the Immunity of VLM-based Multi-Agent Systems,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
AxBench: Steering LLMs? Even Simple Baselines Outperform Sparse Autoencoders,Interpretability & Understanding,Interpretability,6.0
AlphaPO: Reward Shape Matters for LLM Alignment,Capability Control & Unlearning,Alignment Training,4.0
Preference Learning for AI Alignment: a Causal Perspective,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Which Attention Heads Matter for In-Context Learning?,Interpretability & Understanding,Interpretability,3.0
RE-Bench: Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts,Threat Modeling & Evaluations,Dangerous Capability Evals,3.0
Self-Play $Q$-Learners Can Provably Collude in the Iterated Prisoner's Dilemma,Scalable Oversight & Value Learning,Multi-Agent Safety,3.0
The Geometry of Refusal in Large Language Models: Concept Cones and Representational Independence,Interpretability & Understanding,Interpretability,7.0
AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement,Scalable Oversight & Value Learning,Scalable Oversight,4.0
The Hidden Life of Tokens: Reducing Hallucination of Large Vision-Language Models Via Visual Information Steering,Interpretability & Understanding,Interpretability,7.0
MONA: Myopic Optimization with Non-myopic Approval Can Mitigate Multi-step Reward Hacking,Scalable Oversight & Value Learning,Scalable Oversight,7.0
Bounded Rationality for LLMs: Satisficing Alignment at Inference-Time,Threat Modeling & Evaluations,Safeguards,5.0
On the Vulnerability of Applying Retrieval-Augmented Generation within Knowledge-Intensive Application Domains,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
ConfPO: Exploiting Policy Model Confidence for Critical Token Selection in Preference Optimization,Capability Control & Unlearning,Alignment Training,3.0
The Perils of Optimizing Learned Reward Functions: Low Training Error Does Not Guarantee Low Regret,Scalable Oversight & Value Learning,Scalable Oversight,3.0
Benign Samples Matter! Fine-tuning On Outlier Benign Samples Severely Breaks Safety,"Robustness, Defense & Systemic Control",Red-Teaming,6.0
ROPO: Robust Preference Optimization for Large Language Models,Capability Control & Unlearning,Alignment Training,5.0
PoisonBench: Assessing Language Model Vulnerability to Poisoned Preference Data,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Circumventing Backdoor Space via Weight Symmetry,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Tool Unlearning for Tool-Augmented LLMs,Capability Control & Unlearning,Alignment Training,7.0
CROW: Eliminating Backdoors from Large Language Models via Internal Consistency Regularization,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Beyond Induction Heads: In-Context Meta Learning Induces Multi-Phase Circuit Emergence,Interpretability & Understanding,Interpretability,4.0
The Devil Is in the Details: Tackling Unimodal Spurious Correlations for Generalizable Multimodal Reward Models,Capability Control & Unlearning,Alignment Training,5.0
Defending LVLMs Against Vision Attacks Through Partial-Perception Supervision,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Explaining the role of Intrinsic Dimensionality in Adversarial Training,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
Square$\chi$PO: Differentially Private and Robust $\chi^2$-Preference Optimization in Offline Direct Alignment,Capability Control & Unlearning,Alignment Training,5.0
Progressively Label Enhancement for Large Language Model Alignment,Capability Control & Unlearning,Alignment Training,5.0
"Jacobian Sparse Autoencoders: Sparsify Computations, Not Just Activations",Interpretability & Understanding,Interpretability,5.0
When Can Proxies Improve the Sample Complexity of Preference Learning?,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Test-Time Multimodal Backdoor Detection by Contrastive Prompting,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
CASE-Bench: Context-Aware SafEty Benchmark for Large Language Models,Threat Modeling & Evaluations,Safeguards,7.0
Direct Density Ratio Optimization: A Statistically Consistent Approach to Aligning Large Language Models,Capability Control & Unlearning,Alignment Training,7.0
"Understanding Input Selectivity in Mamba: Impact on Approximation Power, Memorization, and Associative Recall Capacity",Interpretability & Understanding,Interpretability,4.0
Does Low Rank Adaptation Lead to Lower Robustness against Training-Time Attacks?,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
A Closer Look at Backdoor Attacks on CLIP,"Robustness, Defense & Systemic Control",Adversarial Robustness,4.0
How Transformers Learn Structured Data: Insights From Hierarchical Filtering,Interpretability & Understanding,Interpretability,4.0
"REINFORCE Adversarial Attacks on Large Language Models: An Adaptive, Distributional, and Semantic Objective","Robustness, Defense & Systemic Control",Red-Teaming,7.0
A Physics-Informed Machine Learning Framework for Safe and Optimal Control of Autonomous Systems,Threat Modeling & Evaluations,Safeguards,6.0
The Elicitation Game: Evaluating Capability Elicitation Techniques,Threat Modeling & Evaluations,Model Organisms,7.0
Adaptive Median Smoothing: Adversarial Defense for Unlearned Text-to-Image Diffusion Models at Inference Time,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
Relating Misfit to Gain in Weak-to-Strong Generalization Beyond the Squared Loss,Scalable Oversight & Value Learning,Scalable Oversight,3.0
Energy-Based Preference Model Offers Better Offline Alignment than the Bradley-Terry Preference Model,Capability Control & Unlearning,Alignment Training,4.0
Mechanistic Unlearning: Robust Knowledge Unlearning and Editing via Mechanistic Localization,Capability Control & Unlearning,Alignment Training,7.0
Representations Shape Weak-to-Strong Generalization: Theoretical Insights and Empirical Predictions,Scalable Oversight & Value Learning,Scalable Oversight,4.0
Assessing Safety Risks and Quantization-aware Safety Patching for Quantized Large Language Models,Capability Control & Unlearning,Alignment Training,7.0
Activation Space Interventions Can Be Transferred Between Large Language Models,Threat Modeling & Evaluations,Safeguards,7.0
POROver: Improving Safety and Reducing Overrefusal in Large Language Models with Overgeneration and Preference Optimization,Capability Control & Unlearning,Alignment Training,6.0
From Black Boxes to Transparent Minds: Evaluating and Enhancing the Theory of Mind in Multimodal Large Language Models,Interpretability & Understanding,Interpretability,3.0
One Image is Worth a Thousand Words: A Usability Preservable Text-Image Collaborative Erasing Framework,Capability Control & Unlearning,Alignment Training,6.0
SPRI: Aligning Large Language Models with Context-Situated Principles,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Scaling Trends in Language Model Robustness,"Robustness, Defense & Systemic Control",Adversarial Robustness,6.0
SAEBench: A Comprehensive Benchmark for Sparse Autoencoders in Language Model Interpretability,Interpretability & Understanding,Interpretability,3.0
Towards Global-level Mechanistic Interpretability: A Perspective of Modular Circuits of Large Language Models,Interpretability & Understanding,Interpretability,5.0
Automated Red Teaming with GOAT: the Generative Offensive Agent Tester,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Towards LLM Unlearning Resilient to Relearning Attacks: A Sharpness-Aware Minimization Perspective and Beyond,Capability Control & Unlearning,Alignment Training,6.0
SafeArena: Evaluating the Safety of Autonomous Web Agents,Threat Modeling & Evaluations,Dangerous Capability Evals,6.0
MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Of Mice and Machines: A Comparison of Learning Between Real World Mice and RL Agents,Capability Control & Unlearning,Alignment Training,6.0
The Jailbreak Tax: How Useful are Your Jailbreak Outputs?,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
RATE: Causal Explainability of Reward Models with Imperfect Counterfactuals,Interpretability & Understanding,Interpretability,4.0
How to Evaluate and Mitigate IP Infringement in Visual Generative AI?,Threat Modeling & Evaluations,Safeguards,6.0
A Checks-and-Balances Framework for Context-Aware Ethical AI Alignment,Threat Modeling & Evaluations,Safeguards,6.0
TuCo: Measuring the Contribution of Fine-Tuning to Individual Responses of LLMs,Interpretability & Understanding,Interpretability,4.0
AdvI2I: Adversarial Image Attack on Image-to-Image Diffusion Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Validating Mechanistic Interpretations: An Axiomatic Approach,Interpretability & Understanding,Interpretability,4.0
Learning Multi-Level Features with Matryoshka Sparse Autoencoders,Interpretability & Understanding,Interpretability,6.0
"Is Best-of-N the Best of Them? Coverage, Scaling, and Optimality in Inference-Time Alignment",Scalable Oversight & Value Learning,Scalable Oversight,6.0
Invariance Makes LLM Unlearning Resilient Even to Unanticipated Downstream Fine-Tuning,Capability Control & Unlearning,Alignment Training,7.0
"Right Now, Wrong Then: Non-Stationary Direct Preference Optimization under Preference Drift",Capability Control & Unlearning,Alignment Training,5.0
Scaling Sparse Feature Circuits For Studying In-Context Learning,Interpretability & Understanding,Interpretability,4.0
Gandalf the Red: Adaptive Security for LLMs,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
