id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
nips-2020-051928341be67dcba03f0e04104d9047,Flows for simultaneous manifold learning and density estimation,3,False,,,,,,high,"The paper introduces a new generative model for manifold learning and density estimation, focusing on improving representation and inference. There is no connection to AI safety, alignment, or frontier model risks. It is a capabilities-oriented contribution."
nips-2020-0663a4ddceacb40b095eda264a85f15c,Learning to Extrapolate Knowledge: Transductive Few-shot Out-of-Graph Link Prediction,3,False,,,,,,high,"The paper introduces a meta-learning framework for few-shot out-of-graph link prediction in multi-relational graphs, focusing on improving performance for new entities with limited links. There is no mention of AI safety, alignment, fairness, or any safety-related motivation; it is a standard capabilities machine learning paper."
nips-2020-019fa4fdf1c04cf73ba25aa2223769cd,Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering,3,False,,,,,,high,"The paper proposes a data debugging technique to improve prediction accuracy in collaborative filtering by editing overly personalized ratings. The primary goal is enhancing performance, with no connection to AI safety, alignment, or frontier models, placing it in Class 3 (General Capabilities)."
nips-2020-03287fcce194dbd958c2ec5b33705912,Coresets for Regressions with Panel Data,3,False,,,,,,high,"The paper introduces coresets for regression problems with panel data, focusing on computational efficiency and privacy. There is no connection to AI safety, frontier models, or alignment. It is purely a capabilities/efficiency paper."
nips-2020-05f971b5ec196b8c65b75d2ef8267331,One-bit Supervision for Image Classification,3,False,,,,,,high,"The paper presents a training paradigm for image classification under weak supervision (one-bit yes/no labels). Its primary goal is improving annotation efficiency and classification performance, with no connection to frontier AI safety, alignment, or catastrophic risk. Therefore it belongs to Class 3 (General Capabilities)."
nips-2020-033cc385728c51d97360020ed57776f0,Efficient Contextual Bandits with Continuous Actions,3,False,,,,,,high,"The paper presents a computationally tractable algorithm for contextual bandits with continuous actions, focusing on theoretical guarantees and large-scale experiments. There is no mention of safety, ethics, interpretability, or frontier AI concerns, placing it squarely in general capabilities improvement."
nips-2020-0060ef47b12160b9198302ebdb144dcf,Self-Supervised MultiModal Versatile Networks,3,False,,,,,,high,"The paper introduces self-supervised multimodal networks trained on videos to improve performance on downstream tasks like action recognition and audio classification. There is no connection to AI safety, ethics, or reliability, making it a general capabilities paper."
nips-2020-023d0a5671efd29e80b4deef8262e297,Stein Self-Repulsive Dynamics: Benefits From Past Samples,3,False,,,,,,high,"The paper introduces a Stein self-repulsive dynamics method to improve sampling efficiency and uncertainty estimation in Langevin dynamics. It focuses purely on algorithmic performance and statistical sampling, with no connection to AI safety, alignment, or frontier AI systems. Thus, it falls under General Capabilities (Class 3)."
nips-2020-0561bc7ecba98e39ca7994f93311ba23,Simultaneous Preference and Metric Learning from Paired Comparisons,3,False,,,,,,high,"The paper focuses on learning a Mahalanobis metric and ideal point representation for recommendation systems using paired comparisons. This is a standard machine learning approach for improving recommendation accuracy, with no explicit connection to frontier AI safety, alignment, interpretability, or fairness. Therefore, it falls under Class 3 (General Capabilities)."
nips-2020-03255088ed63354a54e0e5ed957e9008,How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization,3,False,,,,,,high,"The paper proposes a model-based actor-critic algorithm (MAGE) for continuous control, focusing on improving policy optimization by learning action-value gradients. There is no mention of safety, alignment, ethics, or any frontier AI safety concerns; it is a standard reinforcement learning capabilities paper. Therefore, it belongs to Class 3 (General Capabilities)."
