id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
G7sIFXugTX,SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement,3,False,,,,,,high,"The paper focuses on improving software agent performance on benchmark tasks using Monte Carlo Tree Search and iterative refinement, with no mention of safety, alignment, or risk. It is purely a capabilities improvement paper, falling under Class 3 General Capabilities."
82p8VHRsaK,Language Models are Advanced Anonymizers,1,False,,,,,,high,"The paper addresses privacy concerns by developing LLM-based text anonymization methods to protect personal data from adversarial inference. This is a traditional privacy and ethics topic with no connection to frontier AI safety, misalignment, or catastrophic risks."
O6znYvxC1U,Bayesian Treatment of the Spectrum of the Empirical Kernel in (Sub)Linear-Width Neural Networks,3,False,,,,,,high,"The paper develops theoretical results for Bayesian neural networks in asymptotic regimes, linking kernel methods and random matrix theory. It does not address AI safety, fairness, reliability, or alignment, and its primary goal is advancing theoretical understanding rather than improving capabilities or safety."
nNiWRRj6r9,ONLINE EPSILON NET & PIERCING SET FOR GEOMETRIC CONCEPTS,3,False,,,,,,high,"The paper studies online epsilon-net and piercing set problems for geometric concepts with bounded VC-dimension, motivated by applications in spatial data analysis and sensor networks. It presents deterministic and randomized algorithms with optimal competitive ratios. There is no connection to AI safety, alignment, frontier models, or interpretability; it is a pure computational geometry and learning theory contribution, placing it in Class 3 (General Capabilities)."
xPTzjpIQNp,Optimal Transport for Time Series Imputation,3,False,,,,,,high,"The paper introduces a new optimal transport-based discrepancy (PSW) and framework (PSW-I) for time series imputation, focusing on handling temporal patterns and non-stationarity to improve performance. It has no connection to AI safety, ethics, or truthfulness, and its primary goal is advancing a general machine learning capability, placing it squarely in Class 3."
kbeX97jExm,Neural Wave Equation for Irregularly Sampled Sequence Data,3,False,,,,,,high,"The paper proposes a new neural architecture (Neural Wave Equation) to improve performance on irregularly sampled sequence data. There is no mention of safety, alignment, ethics, or interpretability; the goal is purely to advance modeling capabilities. Thus, it falls under General Capabilities (Class 3)."
Sd4wYYOhmY,TabM: Advancing tabular deep learning with parameter-efficient ensembling,3,False,,,,,,high,"The paper proposes a new deep learning model for tabular data, focusing solely on improving performance and efficiency on standard benchmarks. There is no mention of AI safety, alignment, frontier models, or any safety-related concerns, placing it firmly in the General Capabilities class."
GdXI5zCoAt,RaSA: Rank-Sharing Low-Rank Adaptation,3,False,,,,,,high,"The paper introduces RaSA, a method to enhance LoRA by sharing ranks across layers to improve performance on code and math tasks. The primary goal is increasing expressive capacity and capability, with no mention of safety, alignment, or reliability concerns. Therefore, it belongs in Class 3 (General Capabilities)."
rAoEub6Nw2,A Statistical Framework for Ranking LLM-based Chatbots,3,False,,,,,,high,"This paper proposes a statistical framework for ranking LLMs based on human pairwise comparisons, focusing on improving modeling of ties and covariance for better performance evaluation. It does not address AI safety, alignment, or risk. Thus it belongs to Class 3 (General Capabilities), distinct from safety-oriented evaluation papers."
TbTJJNjumY,Boosting Neural Combinatorial Optimization for Large-Scale Vehicle Routing Problems,3,False,,,,,,high,"The paper introduces a lightweight cross-attention mechanism and a self-improved training algorithm to scale neural combinatorial optimization methods to large vehicle routing problems. Its primary goal is improving performance and efficiency, with no connection to AI safety, ethics, or interpretability, so it falls under General Capabilities."
XBF63bHDZw,SimulPL: Aligning Human Preferences in Simultaneous Machine Translation,3,False,,,,,,high,"The paper proposes SimulPL, a preference learning framework for simultaneous machine translation, aiming to align model behavior with human preferences (translation quality, latency, etc.). This falls under Class 3 as it focuses on improving task-specific performance without explicit safety or alignment motivation. It is not about AI safety alignment or frontier model risks, distinguishing it from Class 4."
