id,title,class,is_safety,motivation_score,methodology_score,evaluation_score,total_score,subdomain,confidence,reasoning
vCmnu4q8C3,Adaptive Conformal Prediction via Mixture-of-Experts Gating Similarity,3,False,,,,,,high,"The paper introduces MoE-CP, a method to improve conformal prediction intervals using mixture-of-experts gating similarity. It focuses on uncertainty quantification and coverage guarantees for heterogeneous data, with no mention of frontier AI safety, alignment, or catastrophic risks. The work is purely about improving a general machine learning capability (reliable prediction intervals), placing it in Class 3."
QRSeFZfu8E,Generalizable End-to-End Tool-Use RL with Synthetic CodeGym,3,False,,,,,,high,"The paper introduces CodeGym, a framework for training LLM agents to use tools via reinforcement learning in synthetic environments, with the primary goal of improving generalization to new tools and workflows. There is no explicit safety or alignment motivation; it focuses on capability enhancement, placing it in Class 3 (General Capabilities)."
uqT7TAhwrm,DTP: Delta-Guided Two Stage Pruning for Mamba-based Multimodal Large Language Models,3,False,,,,,,high,"The paper focuses on improving the efficiency of Mamba-based multimodal LLMs by pruning redundant visual tokens, reducing computation and latency. There is no mention of safety, alignment, or risk mitigation; the primary goal is performance optimization. This clearly falls under General Capabilities (Class 3)."
TEKOayiQg2,SongEcho: Towards Cover Song Generation via Instance-Adaptive Element-wise Linear Modulation,3,False,,,,,,high,"This paper focuses on improving conditional generation for cover songs, a creative AI application. There is no mention of safety, alignment, fairness, or reliability beyond standard generation quality, placing it firmly in Class 3 (General Capabilities). It does not intersect with any frontier AI safety concerns."
qHm5GePxTh,RF-DETR: Neural Architecture Search for Real-Time Detection Transformers,3,False,,,,,,high,"The paper focuses on improving object detection performance and efficiency through neural architecture search, with no mention of AI safety, alignment, or ethical concerns. It is a pure capabilities improvement work, fitting Class 3 (General Capabilities)."
vjEl1PuIDE,AVoCaDO: An Audiovisual Video Captioner Driven by Temporal Orchestration,3,False,,,,,,high,"The paper presents AVoCaDO, an audiovisual video captioning model focused on improving temporal alignment and descriptive quality. The primary goal is enhancing performance on standard benchmarks, with no framing around safety, alignment, ethics, or reliability. Thus, it is a general capabilities paper (Class 3)."
aTVollXaaI,SPRINT: Sparse-Dense Residual Fusion for Efficient Diffusion Transformers,3,False,,,,,,high,"The paper focuses on improving the training and inference efficiency of Diffusion Transformers through token dropping and residual fusion, with no mention of safety, alignment, ethics, or any safety-related concerns. Its primary goal is computational efficiency and preserving generative quality, placing it squarely in Class 3 (General Capabilities)."
8tDIzHFOx6,SPR$^2$Q: Static Priority-based Rectifier Routing Quantization for Image Super-Resolution,3,False,,,,,,high,"The paper presents a quantization method for image super-resolution, focusing solely on improving performance under low-bit compression. There is no mention of AI safety, alignment, or frontier models; the goal is purely to enhance efficiency and accuracy in a standard computer vision task. This places it firmly in Class 3 (General Capabilities), as the primary aim is performance improvement without any safety or reliability framing."
Bs4FbnrE82,Zero-shot Human Pose Estimation using Diffusion-based Inverse solvers,3,False,,,,,,high,"The paper addresses human pose estimation, a standard computer vision task, using diffusion models to improve zero-shot generalization. There is no connection to AI safety, alignment, or frontier model concerns, placing it in Class 3 (General Capabilities)."
QmgEUx2Cd7,LORE: Jointly Learning The Intrinsic Dimensionality and Relative Similarity Structure from Ordinal Data,3,False,,,,,,high,"The paper presents LORE, a method for jointly learning intrinsic dimensionality and ordinal embeddings from triplet comparisons, applied to perceptual spaces like taste and aesthetics. There is no connection to frontier AI safety, alignment, or threat models; the work is a standard machine learning contribution focused on dimensionality reduction and embedding learning, placing it in Class 3."
